feature,coef
Distributor_Slowhand Cinema,-429894.029197086
Distributor_Smodshow Productions,-3723.1503875182275
Distributor_SnagFilms,192783.3096178833
Distributor_Somerset Films,-1103102.06989949
Distributor_Sony Pictures,5483000.937173485
Distributor_Sony Pictures Classics,-150232.81899267185
Distributor_Sony/BMG,-39887.42727755184
Distributor_Spacey,14479.173868419439
Distributor_Spark Entertainment,-75407.55430201146
Distributor_Stand Up Films,-84823.01817862934
Distributor_Starz Digital Media,-11707.729481577986
Distributor_Starz Media,-302085.6077910647
Distributor_Steelyard Pictures,-26468.785823586386
Distributor_Stone Five Studios,-320803.6846176025
Distributor_Stony Island Entertainment,0.0
Distributor_Strand,-64920.833329226894
Distributor_Studio 18,-404667.23442242417
Distributor_Submarine Deluxe,203423.34819340496
Distributor_Sumbadhat Productions,-125152.0595878895
Distributor_Summit Entertainment,3218691.8111268766
Distributor_Sundance Selects,-256366.64656174486
Distributor_Sycamore Entertainment Group Inc.,0.0
Distributor_TLA Releasing,-128011.98760545888
Distributor_TVA Films,9920.977991036512
Distributor_Tachyon,-25346.564555882313
Distributor_Tartan Films,-84167.380696338
Distributor_Telepathic Studios,0.0
Distributor_Ten Furlongs,-294496.718976323
Distributor_The 7th Floor,-46997.680607390546
Distributor_The Bigger Picture,-563264.5993850713
Distributor_The Bubble Factory,-22116.40931067335
Distributor_The Ciesla Foundation,0.0
Distributor_The Disinformation Co.,13579.781607638579
Distributor_The Documentary Group,-40024.660761882675
Distributor_The Film Collaborative,89833.9857989209
Distributor_The Film Collective,72962.39718315509
Distributor_The Film Desk,136105.54901900463
Distributor_The Little Film Company/Dada Films,-352171.49247553875
Distributor_The Movie Partners,-317551.63364358625
Distributor_The Nobility Project,22044.49060455503
Distributor_The Orchard,126899.92995968195
Distributor_The Vladar Company,-96139.78951532488
Distributor_The World According to Shorts,67966.74398233526
Distributor_ThinkFilm,-211730.61275099625
Distributor_Third Rail,-1144278.129565718
Distributor_Thread Cross Films,-26681.665494598234
Distributor_Thunderstruck Films,-466173.70704758586
Distributor_Tilapia Film,-38677.34967999811
"Distributor_Time and Tide Productions, Inc.",-6599.948479514463
"Distributor_Touch the Wall, LLC",0.0
Distributor_Trela,-22243.56754520704
Distributor_TriBeca Films,-197952.80776735087
Distributor_Trinity Film,82569.19071688826
Distributor_Troma Entertainment,-112822.3280499113
Distributor_Truly Indie,-416024.8435623637
Distributor_Truth Aid/Amplify,77159.01092613784
Distributor_Typecast Releasing,84816.36445369633
Distributor_Tyscot Manhaddon,-294932.9108129905
Distributor_UTV Communications,-494322.32738258014
Distributor_Unico Entertainment,-60490.84898506465
Distributor_Unison Films,75404.57773161645
Distributor_Unison/Paladin,-50094.172636086376
Distributor_United Artists,330035.28907224676
Distributor_Universal,6610883.283406553
Distributor_Unstuck LLC,-55449.26075858552
Distributor_Vagrant Films,-113285.52794673611
Distributor_Vanguardia Films,-90560.83481115846
Distributor_Variance Films,-623227.6977368585
Distributor_Variance Films/Syndicado,13902.435752112026
Distributor_Variance/40 Acres & a Mule Filmworks,62464.94347729361
Distributor_Velvet Film,0.0
Distributor_Veracity Moving Pictures,-222483.74781207467
Distributor_Vineyard Distribution,0.0
Distributor_Visio Entertainment,574446.3093873695
Distributor_Vitagraph Films,-452071.6146120182
Distributor_Viva Entertainment,-197443.20527066593
Distributor_Vivendi Entertainment,151952.64430305338
Distributor_Waldo West Productions,0.0
Distributor_Walking Shadows,-95519.01035200308
Distributor_Walt Disney,8017381.826340608
Distributor_Warner Bros.,5302038.960759148
Distributor_Warner Independent,-341458.10591097205
Distributor_Warrior Poets,36773.35447563501
Distributor_Waterdog Films,19369.41341411116
Distributor_Wave Releasing,-110685.88303240627
Distributor_Weinstein Co.,890868.7795272322
Distributor_Weinstein/Dimension,892704.2348050852
Distributor_Well Go USA,-1194778.4779967403
Distributor_WellSpring,-78797.83167600252
Distributor_White Hill Production,25413.450486837628
Distributor_Wildcat Releasing,-674547.5324458318
Distributor_Wingate Distribution,-38635.7839145379
Distributor_Winter Star Entertainment,-326760.97177259985
Distributor_Wolfe Releasing,95615.87287571805
Distributor_Women Make Movies,-13279.303393516522
Distributor_World Wide Motion Pictures,19655.796346512903
Distributor_Wrekin Hill Entertainment,-127163.67911285322
Distributor_XLrater Media,0.0
Distributor_Xenon Pictures,-370960.6708375147
Distributor_Yari Film Group Releasing,-350544.20917113917
Distributor_Yash Raj Films,-655009.6520371742
Distributor_Zeitgeist,157382.56915669038
Distributor_Zipporah,204575.82106212171
Distributor_erbp Film,452.5555175576576
Distributor_levelFILM,86402.89072993689
Distributor_nWave Pictures,-1037656.8042162611
Genre_Adventure,1247155.3632193622
Genre_Comedy,-2611352.9949495774
Genre_Documentary,-3196323.0687218667
Genre_Drama,-3155402.7294650306
Genre_Horror,-2669348.371999153
Genre_Other,-3083985.863580184
Genre_Thriller/Suspense,-2740065.411672468
MPAA_NC-17,1173498.6039702191
MPAA_Not Rated,2063303.5710487003
MPAA_PG,2331157.7116266075
MPAA_PG-13,3563784.8114353092
MPAA_R,2008789.0450265144
